model,condition,family,snr_db,n_utterances,ref_words,wer,substitution_rate,insertion_rate,deletion_rate,length_ratio,mean_cer
wav2vec2-large-mct-ft,noise_20db,noise,20.0,100,2357,0.025031820110309716,0.020364870598218072,0.0021213406873143827,0.002545608824777259,0.9995757318625371,0.012194137342370803
wav2vec2-large-mct-ft,packet_loss_30pct,packet_loss_30pct,,100,2357,0.03266864658464149,0.02588035638523547,0.002545608824777259,0.004242681374628765,0.9983029274501485,0.015199504839480394
wav2vec2-large-mct-ft,reverb,reverb,,100,2357,0.03691132795927026,0.030547305897327112,0.002545608824777259,0.003818413237165889,0.9987271955876114,0.017953702279522806
wav2vec2-large-mct-ft,telephone,telephone,,100,2357,0.02672889266016122,0.021637675010606705,0.0021213406873143827,0.002969876962240136,0.9991514637250742,0.010556667766650601
wav2vec2-large-mct-ft,walkie_talkie_0db,walkie_talkie,0.0,100,2357,0.12600763682647434,0.10267288926601613,0.014849384811200678,0.00848536274925753,1.0063640220619432,0.08500863449975794
whisper-small,babble_-10db,babble,-10.0,100,2357,1.3317776834959694,0.353839626644039,0.37887144675434875,0.5990666100975817,0.779804836656767,1.019494744081957
whisper-small,babble_-5db,babble,-5.0,100,2357,1.9270258803563853,0.38820534577853205,1.1798896902842597,0.35893084429359357,1.820958845990666,1.332385344705889
whisper-small,babble_0db,babble,0.0,100,2357,0.26728892660161224,0.18116249469664827,0.05388205345778532,0.03224437844717862,1.0216376750106066,0.18738602810879607
whisper-small,babble_20db,babble,20.0,100,2357,0.02460755197284684,0.01824352991090369,0.0033941450997030122,0.002969876962240136,1.0004242681374629,0.01681864519544927
whisper-small,cellphone_in_crowd_-5db,cellphone_in_crowd,-5.0,100,2357,1.7870173949936359,0.25540941875265166,0.8285956724649979,0.7030123037759864,1.1255833686890115,2.623086248920937
whisper-small,clean,clean,,100,2357,0.022486211285532458,0.01612218922358931,0.0033941450997030122,0.002969876962240136,1.0004242681374629,0.01520718305100164
whisper-small,codec_opus_6k,codec_opus_6k,,100,2357,0.03860840050912177,0.029698769622401356,0.003818413237165889,0.005091217649554518,0.9987271955876114,0.02637975200740533
whisper-small,far_field_surveillance_-5db,far_field_surveillance,-5.0,100,2357,1.6809503606279168,0.37887144675434875,0.7543487484089945,0.5477301654645736,1.206618582944421,1.1098542611149604
whisper-small,noise_-10db,noise,-10.0,100,2357,0.29741196436147643,0.175222740772168,0.04327535002121341,0.07891387356809504,0.9643614764531183,0.22326238262611892
whisper-small,noise_-5db,noise,-5.0,100,2357,0.12897751378871447,0.09461179465422147,0.02333474756045821,0.01103097157403479,1.0123037759864235,0.07967719291345053
whisper-small,noise_0db,noise,0.0,100,2357,0.050487908358082305,0.037335596096733134,0.0067882901994060245,0.006364022061943148,1.0004242681374629,0.03028904636751524
whisper-small,noise_20db,noise,20.0,100,2357,0.022910479422995334,0.01697072549851506,0.002969876962240136,0.002969876962240136,1.0,0.013175894797202763
whisper-small,packet_loss_30pct,packet_loss_30pct,,100,2357,0.040729741196436145,0.02927450148493848,0.005515485787017395,0.005939753924480272,0.9995757318625371,0.018635928390266492
whisper-small,reverb,reverb,,100,2357,0.030123037759864236,0.021637675010606705,0.004242681374628765,0.004242681374628765,1.0,0.017355125416030216
whisper-small,telephone,telephone,,100,2357,0.023759015697921087,0.017394993635977938,0.0033941450997030122,0.002969876962240136,1.0004242681374629,0.01568639899888343
